Date,Price,Open,High,Low,Vol.,Change %
1/24/23,1556.15,1626.52,1641.17,1539.51,493.47K,-4.33%
1/23/23,1626.53,1627.04,1643.82,1591.90,436.57K,-0.03%
1/22/23,1627.03,1626.66,1662.13,1609.32,456.36K,0.09%
1/21/23,1625.53,1659.96,1678.27,1622.89,523.34K,-2.08%
1/20/23,1659.98,1551.12,1662.26,1543.21,472.15K,6.98%
1/19/23,1551.62,1511.35,1560.70,1510.65,329.04K,2.67%
1/18/23,1511.31,1564.66,1604.74,1505.37,801.71K,-3.41%
1/17/23,1564.67,1576.94,1603.32,1544.45,536.73K,-0.78%
1/16/23,1576.94,1552.69,1598.18,1526.40,617.00K,1.56%
1/15/23,1552.69,1550.05,1564.34,1517.40,411.43K,0.17%
1/14/23,1550.02,1450.86,1576.83,1449.47,1.03M,6.83%
1/13/23,1450.86,1416.08,1463.53,1401.98,552.05K,2.46%
1/12/23,1416.08,1389.84,1435.95,1365.78,960.62K,1.89%
1/11/23,1389.84,1335.14,1392.40,1322.10,509.99K,4.10%
1/10/23,1335.13,1320.51,1344.42,1316.95,487.24K,1.11%
1/9/23,1320.51,1288.39,1344.39,1285.97,629.22K,2.49%
1/8/23,1288.38,1263.91,1289.13,1259.15,231.75K,1.94%
1/7/23,1263.90,1269.14,1270.95,1261.46,141.94K,-0.41%
1/6/23,1269.14,1250.95,1274.85,1240.38,369.54K,1.45%
1/5/23,1250.95,1256.92,1259.08,1242.93,289.49K,-0.47%
1/4/23,1256.92,1214.57,1266.97,1212.91,504.28K,3.49%
1/3/23,1214.57,1213.93,1219.75,1206.83,219.98K,0.05%
1/2/23,1213.93,1200.52,1220.76,1193.77,270.72K,1.12%
1/1/23,1200.52,1195.69,1204.12,1191.67,126.62K,0.41%
